Police Force,Type of force,Tactic,Under 11 years,11 - 17 years,18 - 34 years,35 - 49 years,50 - 64 years,65 and over,Not reported,Number of times tactic reported
Total England and Wales,Total (excluding not reported and tactical communication),*Total Tactics,998.0,70670.0,393405.0,172642.0,43157.0,5345.0,29059.0,715276.0
Total England and Wales,Restraint,*Total Restraint,508.0,45655.0,249163.0,110967.0,27389.0,3136.0,14760.0,451578.0
Total England and Wales,Restraint,"Handcuffing, of which",321.0,35958.0,190648.0,88128.0,22632.0,2658.0,10125.0,350470.0
Total England and Wales,Restraint,Compliant handcuffing,164.0,20241.0,108033.0,50202.0,12531.0,1393.0,4527.0,197091.0
Total England and Wales,Restraint,Non-compliant handcuffing,122.0,12112.0,61595.0,27490.0,7440.0,972.0,4959.0,114690.0
Total England and Wales,Restraint,Handcuffing not stated,35.0,3605.0,21020.0,10436.0,2661.0,293.0,639.0,38689.0
Total England and Wales,Restraint,Limb / Body restraints,63.0,2972.0,17894.0,7020.0,1587.0,196.0,871.0,30603.0
Total England and Wales,Restraint,Ground restraint,124.0,6725.0,40621.0,15819.0,3170.0,282.0,3764.0,70505.0
Total England and Wales,Unarmed skills,*Total Unarmed skills,316.0,16821.0,88980.0,38712.0,10016.0,1445.0,7585.0,163875.0
Total England and Wales,Other equipment,*Total Other equipment,37.0,2214.0,18723.0,7687.0,1627.0,119.0,1791.0,32198.0
Total England and Wales,Other equipment,"Baton, of which",9.0,556.0,3590.0,1198.0,259.0,19.0,431.0,6062.0
Total England and Wales,Other equipment,Baton drawn,9.0,385.0,2114.0,671.0,163.0,12.0,270.0,3624.0
Total England and Wales,Other equipment,Baton used,0.0,117.0,1065.0,386.0,76.0,4.0,139.0,1787.0
Total England and Wales,Other equipment,Baton not stated,0.0,54.0,411.0,141.0,20.0,3.0,22.0,651.0
Total England and Wales,Other equipment,"Irritant spray, of which",17.0,1067.0,10542.0,4504.0,981.0,56.0,988.0,18155.0
Total England and Wales,Other equipment,Irritant spray - drawn,5.0,544.0,3956.0,1642.0,371.0,25.0,468.0,7011.0
Total England and Wales,Other equipment,Irritant spray - used,10.0,420.0,5362.0,2303.0,490.0,27.0,467.0,9079.0
Total England and Wales,Other equipment,Irritant spray not stated,2.0,103.0,1224.0,559.0,120.0,4.0,53.0,2065.0
Total England and Wales,Other equipment,Spit and bite guard,7.0,541.0,4147.0,1795.0,336.0,33.0,313.0,7172.0
