Tactic,Police Force,Force type - Output,Tactic - Output,ethnicity,count
*Total Tactics,Avon & Somerset,Total,Total: all,White,12788.0
*Total Restraint,Avon & Somerset,Restraint,Total: Restraint,White,5955.0
"Handcuffing, of which",Avon & Somerset,Restraint,Total: Handcuffing,White,4569.0
Compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: compliant,White,:
Non-compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: non-compliant,White,:
Handcuffing not stated,Avon & Somerset,,,White,4569.0
Limb / Body restraints,Avon & Somerset,Restraint,Limb / body restraints,White,522.0
Ground restraint,Avon & Somerset,Restraint,Ground restraint,White,864.0
*Total Unarmed skills,Avon & Somerset,Unarmed skills,Total: unarmed skills,White,4886.0
*Total Other equipment,Avon & Somerset,Other equipment,Total: Other equipment,White,599.0
"Baton, of which",Avon & Somerset,Other equipment,Total: Baton,White,28.0
Baton drawn,Avon & Somerset,Other equipment,Baton: drawn,White,:
Baton used,Avon & Somerset,Other equipment,Baton: used,White,:
Baton not stated,Avon & Somerset,,,White,28.0
"Irritant spray, of which",Avon & Somerset,Other equipment,Total: Irritant spray,White,406.0
Irritant spray - drawn,Avon & Somerset,Other equipment,Irritant spray: drawn,White,:
Irritant spray - used,Avon & Somerset,Other equipment,Irritant spray: used,White,:
Irritant spray not stated,Avon & Somerset,,,White,406.0
Spit and bite guard,Avon & Somerset,Other equipment,Spit and bite guard,White,165.0
Shield,Avon & Somerset,Other equipment,Shield,White,0.0
*Total Less lethal weapons,Avon & Somerset,Less lethal weapons,Total: Less lethal weapons,White,703.0
CED of which,Avon & Somerset,,,White,703.0
CED non-discharge,Avon & Somerset,,,White,553.0
CED discharge,Avon & Somerset,,,White,138.0
CED not stated,Avon & Somerset,,,White,12.0
"AEP, of which",Avon & Somerset,Less lethal weapons,Total: AEP,White,0.0
AEP drawn,Avon & Somerset,,,White,0.0
AEP used,Avon & Somerset,,,White,0.0
AEP not stated,Avon & Somerset,,,White,0.0
*Total Firearms,Avon & Somerset,Firearms,Total: Firearms,White,9.0
*Total Other,Avon & Somerset,Other,Total: Other,White,636.0
"Dog use, of which",Avon & Somerset,Other,Total: Dog,White,9.0
Dog deployed,Avon & Somerset,Other,Dog: deployed,White,:
Dog bite,Avon & Somerset,Other,Dog: bite,White,:
Dog not stated,Avon & Somerset,,,White,9.0
Other / improvised,Avon & Somerset,Other,Other / improvised,White,627.0
*Total Not reported,Avon & Somerset,Not reported,Total: Not reported,White,90.0
Tactical communication,Avon & Somerset,Excluded: Tactical Communication,Tactical Communication,White,1626.0
*Total Tactics,Bedfordshire,Total,Total: all,White,4132.0
*Total Restraint,Bedfordshire,Restraint,Total: Restraint,White,2394.0
"Handcuffing, of which",Bedfordshire,Restraint,Total: Handcuffing,White,1630.0
Compliant handcuffing,Bedfordshire,Restraint,Handcuffing: compliant,White,864.0
Non-compliant handcuffing,Bedfordshire,Restraint,Handcuffing: non-compliant,White,766.0
Handcuffing not stated,Bedfordshire,,,White,0.0
Limb / Body restraints,Bedfordshire,Restraint,Limb / body restraints,White,300.0
Ground restraint,Bedfordshire,Restraint,Ground restraint,White,464.0
*Total Unarmed skills,Bedfordshire,Unarmed skills,Total: unarmed skills,White,1198.0
*Total Other equipment,Bedfordshire,Other equipment,Total: Other equipment,White,254.0
"Baton, of which",Bedfordshire,Other equipment,Total: Baton,White,55.0
Baton drawn,Bedfordshire,Other equipment,Baton: drawn,White,37.0
Baton used,Bedfordshire,Other equipment,Baton: used,White,18.0
Baton not stated,Bedfordshire,,,White,0.0
"Irritant spray, of which",Bedfordshire,Other equipment,Total: Irritant spray,White,131.0
Irritant spray - drawn,Bedfordshire,Other equipment,Irritant spray: drawn,White,69.0
Irritant spray - used,Bedfordshire,Other equipment,Irritant spray: used,White,59.0
Irritant spray not stated,Bedfordshire,,,White,3.0
Spit and bite guard,Bedfordshire,Other equipment,Spit and bite guard,White,62.0
Shield,Bedfordshire,Other equipment,Shield,White,6.0
*Total Less lethal weapons,Bedfordshire,Less lethal weapons,Total: Less lethal weapons,White,158.0
CED of which,Bedfordshire,,,White,157.0
CED non-discharge,Bedfordshire,,,White,141.0
CED discharge,Bedfordshire,,,White,13.0
CED not stated,Bedfordshire,,,White,3.0
"AEP, of which",Bedfordshire,Less lethal weapons,Total: AEP,White,1.0
AEP drawn,Bedfordshire,,,White,0.0
AEP used,Bedfordshire,,,White,0.0
AEP not stated,Bedfordshire,,,White,1.0
*Total Firearms,Bedfordshire,Firearms,Total: Firearms,White,9.0
*Total Other,Bedfordshire,Other,Total: Other,White,119.0
"Dog use, of which",Bedfordshire,Other,Total: Dog,White,4.0
Dog deployed,Bedfordshire,Other,Dog: deployed,White,2.0
Dog bite,Bedfordshire,Other,Dog: bite,White,2.0
Dog not stated,Bedfordshire,,,White,0.0
Other / improvised,Bedfordshire,Other,Other / improvised,White,115.0
*Total Not reported,Bedfordshire,Not reported,Total: Not reported,White,5.0
Tactical communication,Bedfordshire,Excluded: Tactical Communication,Tactical Communication,White,2152.0
*Total Tactics,Cambridgeshire,Total,Total: all,White,6176.0
*Total Restraint,Cambridgeshire,Restraint,Total: Restraint,White,3109.0
"Handcuffing, of which",Cambridgeshire,Restraint,Total: Handcuffing,White,2047.0
Compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: compliant,White,912.0
Non-compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: non-compliant,White,1135.0
Handcuffing not stated,Cambridgeshire,,,White,0.0
Limb / Body restraints,Cambridgeshire,Restraint,Limb / body restraints,White,354.0
Ground restraint,Cambridgeshire,Restraint,Ground restraint,White,708.0
*Total Unarmed skills,Cambridgeshire,Unarmed skills,Total: unarmed skills,White,1838.0
*Total Other equipment,Cambridgeshire,Other equipment,Total: Other equipment,White,692.0
"Baton, of which",Cambridgeshire,Other equipment,Total: Baton,White,80.0
Baton drawn,Cambridgeshire,Other equipment,Baton: drawn,White,52.0
Baton used,Cambridgeshire,Other equipment,Baton: used,White,28.0
Baton not stated,Cambridgeshire,,,White,0.0
"Irritant spray, of which",Cambridgeshire,Other equipment,Total: Irritant spray,White,493.0
Irritant spray - drawn,Cambridgeshire,Other equipment,Irritant spray: drawn,White,305.0
Irritant spray - used,Cambridgeshire,Other equipment,Irritant spray: used,White,188.0
Irritant spray not stated,Cambridgeshire,,,White,0.0
Spit and bite guard,Cambridgeshire,Other equipment,Spit and bite guard,White,97.0
Shield,Cambridgeshire,Other equipment,Shield,White,22.0
*Total Less lethal weapons,Cambridgeshire,Less lethal weapons,Total: Less lethal weapons,White,153.0
CED of which,Cambridgeshire,,,White,150.0
CED non-discharge,Cambridgeshire,,,White,137.0
CED discharge,Cambridgeshire,,,White,13.0
CED not stated,Cambridgeshire,,,White,0.0
"AEP, of which",Cambridgeshire,Less lethal weapons,Total: AEP,White,3.0
AEP drawn,Cambridgeshire,,,White,3.0
AEP used,Cambridgeshire,,,White,0.0
AEP not stated,Cambridgeshire,,,White,0.0
*Total Firearms,Cambridgeshire,Firearms,Total: Firearms,White,13.0
*Total Other,Cambridgeshire,Other,Total: Other,White,371.0
"Dog use, of which",Cambridgeshire,Other,Total: Dog,White,2.0
Dog deployed,Cambridgeshire,Other,Dog: deployed,White,2.0
Dog bite,Cambridgeshire,Other,Dog: bite,White,0.0
Dog not stated,Cambridgeshire,,,White,0.0
Other / improvised,Cambridgeshire,Other,Other / improvised,White,369.0
*Total Not reported,Cambridgeshire,Not reported,Total: Not reported,White,18.0
Tactical communication,Cambridgeshire,Excluded: Tactical Communication,Tactical Communication,White,3061.0
*Total Tactics,Cheshire,Total,Total: all,White,9634.0
*Total Restraint,Cheshire,Restraint,Total: Restraint,White,7233.0
"Handcuffing, of which",Cheshire,Restraint,Total: Handcuffing,White,4810.0
Compliant handcuffing,Cheshire,Restraint,Handcuffing: compliant,White,3081.0
Non-compliant handcuffing,Cheshire,Restraint,Handcuffing: non-compliant,White,1729.0
Handcuffing not stated,Cheshire,,,White,0.0
Limb / Body restraints,Cheshire,Restraint,Limb / body restraints,White,250.0
Ground restraint,Cheshire,Restraint,Ground restraint,White,2173.0
*Total Unarmed skills,Cheshire,Unarmed skills,Total: unarmed skills,White,1287.0
*Total Other equipment,Cheshire,Other equipment,Total: Other equipment,White,740.0
"Baton, of which",Cheshire,Other equipment,Total: Baton,White,34.0
Baton drawn,Cheshire,Other equipment,Baton: drawn,White,24.0
Baton used,Cheshire,Other equipment,Baton: used,White,10.0
Baton not stated,Cheshire,,,White,0.0
"Irritant spray, of which",Cheshire,Other equipment,Total: Irritant spray,White,632.0
Irritant spray - drawn,Cheshire,Other equipment,Irritant spray: drawn,White,223.0
Irritant spray - used,Cheshire,Other equipment,Irritant spray: used,White,409.0
Irritant spray not stated,Cheshire,,,White,0.0
Spit and bite guard,Cheshire,Other equipment,Spit and bite guard,White,73.0
Shield,Cheshire,Other equipment,Shield,White,1.0
*Total Less lethal weapons,Cheshire,Less lethal weapons,Total: Less lethal weapons,White,342.0
CED of which,Cheshire,,,White,342.0
CED non-discharge,Cheshire,,,White,301.0
CED discharge,Cheshire,,,White,41.0
CED not stated,Cheshire,,,White,0.0
"AEP, of which",Cheshire,Less lethal weapons,Total: AEP,White,0.0
AEP drawn,Cheshire,,,White,0.0
AEP used,Cheshire,,,White,0.0
AEP not stated,Cheshire,,,White,0.0
*Total Firearms,Cheshire,Firearms,Total: Firearms,White,4.0
*Total Other,Cheshire,Other,Total: Other,White,28.0
"Dog use, of which",Cheshire,Other,Total: Dog,White,28.0
Dog deployed,Cheshire,Other,Dog: deployed,White,22.0
Dog bite,Cheshire,Other,Dog: bite,White,6.0
Dog not stated,Cheshire,,,White,0.0
Other / improvised,Cheshire,Other,Other / improvised,White,0.0
*Total Not reported,Cheshire,Not reported,Total: Not reported,White,1.0
Tactical communication,Cheshire,Excluded: Tactical Communication,Tactical Communication,White,3759.0
*Total Tactics,City of London,Total,Total: all,White,2058.0
*Total Restraint,City of London,Restraint,Total: Restraint,White,1367.0
"Handcuffing, of which",City of London,Restraint,Total: Handcuffing,White,1232.0
Compliant handcuffing,City of London,Restraint,Handcuffing: compliant,White,580.0
Non-compliant handcuffing,City of London,Restraint,Handcuffing: non-compliant,White,652.0
Handcuffing not stated,City of London,,,White,0.0
Limb / Body restraints,City of London,Restraint,Limb / body restraints,White,45.0
Ground restraint,City of London,Restraint,Ground restraint,White,90.0
*Total Unarmed skills,City of London,Unarmed skills,Total: unarmed skills,White,483.0
*Total Other equipment,City of London,Other equipment,Total: Other equipment,White,64.0
"Baton, of which",City of London,Other equipment,Total: Baton,White,13.0
Baton drawn,City of London,Other equipment,Baton: drawn,White,11.0
Baton used,City of London,Other equipment,Baton: used,White,2.0
Baton not stated,City of London,,,White,0.0
"Irritant spray, of which",City of London,Other equipment,Total: Irritant spray,White,36.0
Irritant spray - drawn,City of London,Other equipment,Irritant spray: drawn,White,27.0
Irritant spray - used,City of London,Other equipment,Irritant spray: used,White,9.0
Irritant spray not stated,City of London,,,White,0.0
Spit and bite guard,City of London,Other equipment,Spit and bite guard,White,14.0
Shield,City of London,Other equipment,Shield,White,1.0
*Total Less lethal weapons,City of London,Less lethal weapons,Total: Less lethal weapons,White,57.0
CED of which,City of London,,,White,57.0
CED non-discharge,City of London,,,White,55.0
CED discharge,City of London,,,White,2.0
CED not stated,City of London,,,White,0.0
"AEP, of which",City of London,Less lethal weapons,Total: AEP,White,0.0
AEP drawn,City of London,,,White,0.0
AEP used,City of London,,,White,0.0
AEP not stated,City of London,,,White,0.0
*Total Firearms,City of London,Firearms,Total: Firearms,White,14.0
*Total Other,City of London,Other,Total: Other,White,73.0
"Dog use, of which",City of London,Other,Total: Dog,White,7.0
Dog deployed,City of London,Other,Dog: deployed,White,6.0
Dog bite,City of London,Other,Dog: bite,White,1.0
Dog not stated,City of London,,,White,0.0
Other / improvised,City of London,Other,Other / improvised,White,66.0
*Total Not reported,City of London,Not reported,Total: Not reported,White,0.0
Tactical communication,City of London,Excluded: Tactical Communication,Tactical Communication,White,981.0
*Total Tactics,Cleveland,Total,Total: all,White,9463.0
*Total Restraint,Cleveland,Restraint,Total: Restraint,White,8122.0
"Handcuffing, of which",Cleveland,Restraint,Total: Handcuffing,White,7953.0
Compliant handcuffing,Cleveland,Restraint,Handcuffing: compliant,White,260.0
Non-compliant handcuffing,Cleveland,Restraint,Handcuffing: non-compliant,White,129.0
Handcuffing not stated,Cleveland,,,White,7564.0
Limb / Body restraints,Cleveland,Restraint,Limb / body restraints,White,17.0
Ground restraint,Cleveland,Restraint,Ground restraint,White,152.0
*Total Unarmed skills,Cleveland,Unarmed skills,Total: unarmed skills,White,488.0
*Total Other equipment,Cleveland,Other equipment,Total: Other equipment,White,224.0
"Baton, of which",Cleveland,Other equipment,Total: Baton,White,63.0
Baton drawn,Cleveland,Other equipment,Baton: drawn,White,2.0
Baton used,Cleveland,Other equipment,Baton: used,White,3.0
Baton not stated,Cleveland,,,White,58.0
"Irritant spray, of which",Cleveland,Other equipment,Total: Irritant spray,White,156.0
Irritant spray - drawn,Cleveland,Other equipment,Irritant spray: drawn,White,31.0
Irritant spray - used,Cleveland,Other equipment,Irritant spray: used,White,117.0
Irritant spray not stated,Cleveland,,,White,8.0
Spit and bite guard,Cleveland,Other equipment,Spit and bite guard,White,4.0
Shield,Cleveland,Other equipment,Shield,White,1.0
*Total Less lethal weapons,Cleveland,Less lethal weapons,Total: Less lethal weapons,White,245.0
CED of which,Cleveland,,,White,244.0
CED non-discharge,Cleveland,,,White,222.0
CED discharge,Cleveland,,,White,15.0
CED not stated,Cleveland,,,White,7.0
"AEP, of which",Cleveland,Less lethal weapons,Total: AEP,White,1.0
AEP drawn,Cleveland,,,White,1.0
AEP used,Cleveland,,,White,0.0
AEP not stated,Cleveland,,,White,0.0
*Total Firearms,Cleveland,Firearms,Total: Firearms,White,56.0
*Total Other,Cleveland,Other,Total: Other,White,328.0
"Dog use, of which",Cleveland,Other,Total: Dog,White,25.0
Dog deployed,Cleveland,Other,Dog: deployed,White,4.0
Dog bite,Cleveland,Other,Dog: bite,White,2.0
Dog not stated,Cleveland,,,White,19.0
Other / improvised,Cleveland,Other,Other / improvised,White,303.0
*Total Not reported,Cleveland,Not reported,Total: Not reported,White,152.0
Tactical communication,Cleveland,Excluded: Tactical Communication,Tactical Communication,White,1704.0
*Total Tactics,Cumbria,Total,Total: all,White,6600.0
*Total Restraint,Cumbria,Restraint,Total: Restraint,White,3649.0
"Handcuffing, of which",Cumbria,Restraint,Total: Handcuffing,White,2686.0
Compliant handcuffing,Cumbria,Restraint,Handcuffing: compliant,White,1030.0
Non-compliant handcuffing,Cumbria,Restraint,Handcuffing: non-compliant,White,1656.0
Handcuffing not stated,Cumbria,,,White,0.0
Limb / Body restraints,Cumbria,Restraint,Limb / body restraints,White,157.0
Ground restraint,Cumbria,Restraint,Ground restraint,White,806.0
*Total Unarmed skills,Cumbria,Unarmed skills,Total: unarmed skills,White,1845.0
*Total Other equipment,Cumbria,Other equipment,Total: Other equipment,White,545.0
"Baton, of which",Cumbria,Other equipment,Total: Baton,White,22.0
Baton drawn,Cumbria,Other equipment,Baton: drawn,White,14.0
Baton used,Cumbria,Other equipment,Baton: used,White,8.0
Baton not stated,Cumbria,,,White,0.0
"Irritant spray, of which",Cumbria,Other equipment,Total: Irritant spray,White,461.0
Irritant spray - drawn,Cumbria,Other equipment,Irritant spray: drawn,White,163.0
Irritant spray - used,Cumbria,Other equipment,Irritant spray: used,White,298.0
Irritant spray not stated,Cumbria,,,White,0.0
Spit and bite guard,Cumbria,Other equipment,Spit and bite guard,White,57.0
Shield,Cumbria,Other equipment,Shield,White,5.0
*Total Less lethal weapons,Cumbria,Less lethal weapons,Total: Less lethal weapons,White,308.0
CED of which,Cumbria,,,White,307.0
CED non-discharge,Cumbria,,,White,276.0
CED discharge,Cumbria,,,White,29.0
CED not stated,Cumbria,,,White,2.0
"AEP, of which",Cumbria,Less lethal weapons,Total: AEP,White,1.0
AEP drawn,Cumbria,,,White,1.0
AEP used,Cumbria,,,White,0.0
AEP not stated,Cumbria,,,White,0.0
*Total Firearms,Cumbria,Firearms,Total: Firearms,White,7.0
*Total Other,Cumbria,Other,Total: Other,White,246.0
"Dog use, of which",Cumbria,Other,Total: Dog,White,20.0
Dog deployed,Cumbria,Other,Dog: deployed,White,19.0
Dog bite,Cumbria,Other,Dog: bite,White,1.0
Dog not stated,Cumbria,,,White,0.0
Other / improvised,Cumbria,Other,Other / improvised,White,226.0
*Total Not reported,Cumbria,Not reported,Total: Not reported,White,0.0
Tactical communication,Cumbria,Excluded: Tactical Communication,Tactical Communication,White,2630.0
*Total Tactics,Derbyshire,Total,Total: all,White,6981.0
*Total Restraint,Derbyshire,Restraint,Total: Restraint,White,3646.0
"Handcuffing, of which",Derbyshire,Restraint,Total: Handcuffing,White,2895.0
Compliant handcuffing,Derbyshire,Restraint,Handcuffing: compliant,White,:
Non-compliant handcuffing,Derbyshire,Restraint,Handcuffing: non-compliant,White,:
Handcuffing not stated,Derbyshire,,,White,2895.0
Limb / Body restraints,Derbyshire,Restraint,Limb / body restraints,White,370.0
Ground restraint,Derbyshire,Restraint,Ground restraint,White,381.0
*Total Unarmed skills,Derbyshire,Unarmed skills,Total: unarmed skills,White,2186.0
*Total Other equipment,Derbyshire,Other equipment,Total: Other equipment,White,652.0
"Baton, of which",Derbyshire,Other equipment,Total: Baton,White,64.0
Baton drawn,Derbyshire,Other equipment,Baton: drawn,White,43.0
Baton used,Derbyshire,Other equipment,Baton: used,White,21.0
Baton not stated,Derbyshire,,,White,0.0
"Irritant spray, of which",Derbyshire,Other equipment,Total: Irritant spray,White,501.0
Irritant spray - drawn,Derbyshire,Other equipment,Irritant spray: drawn,White,209.0
Irritant spray - used,Derbyshire,Other equipment,Irritant spray: used,White,292.0
Irritant spray not stated,Derbyshire,,,White,0.0
Spit and bite guard,Derbyshire,Other equipment,Spit and bite guard,White,79.0
Shield,Derbyshire,Other equipment,Shield,White,8.0
*Total Less lethal weapons,Derbyshire,Less lethal weapons,Total: Less lethal weapons,White,175.0
CED of which,Derbyshire,,,White,170.0
CED non-discharge,Derbyshire,,,White,152.0
CED discharge,Derbyshire,,,White,17.0
CED not stated,Derbyshire,,,White,1.0
"AEP, of which",Derbyshire,Less lethal weapons,Total: AEP,White,5.0
AEP drawn,Derbyshire,,,White,5.0
AEP used,Derbyshire,,,White,0.0
AEP not stated,Derbyshire,,,White,0.0
*Total Firearms,Derbyshire,Firearms,Total: Firearms,White,24.0
*Total Other,Derbyshire,Other,Total: Other,White,298.0
"Dog use, of which",Derbyshire,Other,Total: Dog,White,32.0
Dog deployed,Derbyshire,Other,Dog: deployed,White,30.0
Dog bite,Derbyshire,Other,Dog: bite,White,2.0
Dog not stated,Derbyshire,,,White,0.0
Other / improvised,Derbyshire,Other,Other / improvised,White,266.0
*Total Not reported,Derbyshire,Not reported,Total: Not reported,White,0.0
Tactical communication,Derbyshire,Excluded: Tactical Communication,Tactical Communication,White,3105.0
*Total Tactics,Devon & Cornwall,Total,Total: all,White,16481.0
*Total Restraint,Devon & Cornwall,Restraint,Total: Restraint,White,10153.0
