Police Force,Type of force,Tactic,Under 11 years,11 - 17 years,18 - 34 years,35 - 49 years,50 - 64 years,65 and over,Not reported,Number of times tactic reported,Force type - Output,Tactic - Output
Avon & Somerset,Total (excluding not reported and tactical communication),*Total Tactics,69.0,1282.0,8718.0,3938.0,1084.0,62.0,221.0,15374.0,Total,Total: all
Avon & Somerset,Restraint,*Total Restraint,44.0,792.0,5372.0,2416.0,668.0,38.0,97.0,9427.0,Restraint,Total: Restraint
Avon & Somerset,Restraint,"Handcuffing, of which",33.0,572.0,3847.0,1786.0,475.0,31.0,72.0,6816.0,Restraint,Total: Handcuffing
Avon & Somerset,Restraint,Compliant handcuffing,24.0,311.0,2112.0,1002.0,262.0,19.0,41.0,3771.0,Restraint,Handcuffing: compliant
Avon & Somerset,Restraint,Non-compliant handcuffing,9.0,261.0,1735.0,784.0,213.0,12.0,31.0,3045.0,Restraint,Handcuffing: non-compliant
Avon & Somerset,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Avon & Somerset,Restraint,Limb / Body restraints,2.0,38.0,270.0,96.0,35.0,2.0,4.0,447.0,Restraint,Limb / body restraints
Avon & Somerset,Restraint,Ground restraint,9.0,182.0,1255.0,534.0,158.0,5.0,21.0,2164.0,Restraint,Ground restraint
Avon & Somerset,Unarmed skills,*Total Unarmed skills,16.0,289.0,1896.0,816.0,233.0,14.0,57.0,3321.0,Unarmed skills,Total: unarmed skills
Avon & Somerset,Other equipment,*Total Other equipment,7.0,109.0,771.0,375.0,97.0,4.0,49.0,1412.0,Other equipment,Total: Other equipment
Avon & Somerset,Other equipment,"Baton, of which",2.0,7.0,76.0,39.0,7.0,0.0,39.0,170.0,Other equipment,Total: Baton
Avon & Somerset,Other equipment,Baton drawn,1.0,6.0,49.0,26.0,5.0,0.0,24.0,111.0,Other equipment,Baton: drawn
Avon & Somerset,Other equipment,Baton used,1.0,1.0,27.0,13.0,2.0,0.0,15.0,59.0,Other equipment,Baton: used
Avon & Somerset,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Avon & Somerset,Other equipment,"Irritant spray, of which",5.0,74.0,536.0,236.0,67.0,3.0,8.0,929.0,Other equipment,Total: Irritant spray
Avon & Somerset,Other equipment,Irritant spray - drawn,3.0,41.0,295.0,129.0,38.0,2.0,5.0,513.0,Other equipment,Irritant spray: drawn
Avon & Somerset,Other equipment,Irritant spray - used,2.0,33.0,241.0,107.0,29.0,1.0,3.0,416.0,Other equipment,Irritant spray: used
Avon & Somerset,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Avon & Somerset,Other equipment,Spit and bite guard,0.0,24.0,148.0,82.0,19.0,0.0,1.0,274.0,Other equipment,Spit and bite guard
